0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.008852,0.009639,0.013696,0.02518,0.029039,0.030293,0.037965,0.046296,0.049784,0.05972,0.064841,0.077129,0.08222,0.084407,0.097489,0.110281,0.116856,0.124289,0.133169,0.146392,0.14691,0.147573,0.148063,0.153642,0.163993,0.171281,0.183639,0.191031,0.196472,0.196926,0.19893,0.214024,0.226496,0.239904,0.245273,0.25341,0.264873,0.281019,0.283414,0.284583,0.291355,0.29726,0.300065,0.306893,0.307919,0.309172,0.322405,0.335382,0.348551,0.36183,0.365713,0.367671,0.37246,0.383536,0.383936,0.385545,0.386245,0.39465,0.395542,0.400285,0.401188,0.401625,0.415197,0.416584,0.418279,0.420287,0.422444,0.422625,0.429575,0.434393,0.43582,0.441055,0.442975,0.456525,0.465679,0.472157,0.474084,0.475159,0.489734,0.49208,0.498513,0.500924,0.508868,0.518842,0.527611,0.52945,0.53066,0.535351,0.543448,0.54568,0.555708,0.561913,0.575592,0.581153,0.589502,0.593379,0.598147,0.604198,0.609198,0.610488,
0.610805,0.611642,0.615764,0.629462,0.631596,0.633329,0.644197,0.647728,0.649242,0.654329,0.661829,0.662542,0.678852,0.695348,0.698169,0.713193,0.719473,0.722337,0.724511,0.725826,0.728372,0.73245,0.743403,0.751867,0.75339,0.755999,0.768971,0.769916,0.78315,0.791528,0.801389,0.802732,0.804642,0.818199,0.822979,0.827391,0.828356,0.832166,0.839282,0.843457,0.845298,0.85083,0.857579,0.861257,0.866873,0.871671,0.883996,0.890407,0.897258,0.913856,0.929487,0.930525,0.93155,0.945901,0.953948,0.955093,0.957757,0.960788,0.966381,0.971865,0.972608,0.980346,0.980918,0.987706,1.000725,1.003421,1.01391,1.014838,1.019318,1.033313,1.03734,1.049675,1.051208,1.055471,1.067356,1.08295,1.085065,1.097372,1.098716,1.110928,1.118566,1.122218,1.130764,1.13511,1.148254,1.159804,1.173392,1.17614,1.19068,1.204096,1.204414,1.20478,1.214393,1.227809,1.232501,1.24592,1.257607,1.267414,1.271547,1.271838,
1.278284,1.278937,1.28076,1.295099,1.296019,1.298654,1.301052,1.301436,1.312811,1.313046,1.322427,1.323037,1.337264,1.350834,1.360382,1.373358,1.373647,1.377087,1.37996,1.384408,1.385466,1.389152,1.401359,1.415758,1.421317,1.428635,1.435128,1.441437,1.445442,1.452498,1.45299,1.453909,1.455815,1.456334,1.457091,1.46782,1.472585,1.481387,1.48309,1.49129,1.498047,1.511894,1.512722,1.51526,1.523408,1.524114,1.537848,1.540115,1.548579,1.550819,1.558333,1.564282,1.566282,1.571507,1.577427,1.577889,1.581323,1.593639,1.600831,1.602638,1.618312,1.620593,1.636398,1.644291,1.658308,1.669466,1.677721,1.680594,1.695693,1.705074,1.718947,1.720903,1.726179,1.735028,1.746085,1.760049,1.761291,1.765046,1.766906,1.773035,1.778281,1.78251,1.796452,1.81074,1.825163,1.828321,1.829643,1.844609,1.858774,1.860156,1.862351,1.863657,1.870802,1.876083,1.881033,1.887062,1.89246,1.898588,1.903756,1.904669,
1.912504,1.913288,1.917285,1.92067,1.923971,1.93883,1.948042,1.951241,1.954519,1.955203,1.957181,1.957916,1.960149,1.961306,1.963111,1.967594,1.975546,1.985092,1.998718,2.004376,2.018697,2.031774,2.040364,2.049585,2.051001,2.051697,2.055452,2.071996,2.08382,2.092431,2.095299,2.095949,2.099892,2.103904,2.115354,2.125624,2.131637,2.138956,2.141456,2.142828,2.143247,2.148327,2.152918,2.153053,2.15495,2.169071,2.178231,2.178643,2.186692,2.192354,2.20585,2.207391,2.207967,2.208739,2.209317,2.219969,2.223951,2.238351,2.252371,2.257006,2.27037,2.285165,2.291509,2.301989,2.302262,2.319512,2.325533,2.334696,2.337266,2.346547,2.35018,2.352732,2.353256,2.368841,2.372922,2.387478,2.387986,2.395776,2.399605,2.41329,2.420061,2.428879,2.433031,2.437584,2.441058,2.454307,2.455288,2.468704,2.471357,2.483877,2.484387,2.491075,2.494837,2.503274,2.516679,2.52341,2.529206,2.531071,2.538317,2.549217,
2.557625,2.557977,2.570239,2.579195,2.590955,2.605144,2.605779,2.607694,2.618072,2.627309,2.628398,2.628982,2.631877,2.633181,2.646223,2.656887,2.65897,2.663241,2.674122,2.675489,2.68048,2.681246,2.686446,2.689563,2.691425,2.692573,2.693857,2.695343,2.702381,2.718892,2.73625,2.745291,2.753665,2.756824,2.764735,2.777808,2.781779,2.782852,2.785362,2.799946,2.818283,2.827086,2.833294,2.840542,2.860628,2.879819,2.889597,2.89257,2.894927,2.912435,2.915808,2.926301,2.939491,2.948295,3.037631,3.049261,3.05042,3.050826,3.053445,3.063229,3.078082,3.091902,3.101343,3.11533,3.127501,3.139687,3.1475,3.155614,3.170164,3.171899,3.18452,3.184917,3.198871,3.199806,3.202989,3.208875,3.209579,3.217168,3.219009,3.221583,3.221777,3.223498,3.226366,3.231958,3.241827,3.255506,3.266713,3.267977,3.273203,3.287444,3.300794,3.30133,3.30382,3.304263,3.310882,3.319445,3.33101,3.331358,3.336267,3.337137,
